CUSEC,total,unipersonal,h_65+,h_65-,m_65+,m_65-,gana,pc_unipersonal,pc_h_65+,pc_h_65-,pc_m_65+,pc_m_65-
0402201001,486,165,36,48,39,30,2,"33,95","7,41","9,88","8,02","6,17"
0402301001,66,30,6,6,6,6,1,"45,45","9,09","9,09","9,09","9,09"
0402401001,1020,201,18,75,54,54,3,"19,71","1,76","7,35","5,29","5,29"
0402401002,612,132,18,39,33,36,2,"21,57","2,94","6,37","5,39","5,88"
0402601001,36,21,3,9,9,0,1,"58,33","8,33",25,25,0
0402701001,144,69,15,33,30,9,1,"47,92","10,42","22,92","20,83","6,25"
0402801001,111,42,9,15,12,6,1,"37,84","8,11","13,51","10,81","5,41"
0402901001,405,102,9,42,27,15,1,"25,19","2,22","10,37","6,67","3,7"
0402901002,513,120,18,45,33,27,1,"23,39","3,51","8,77","6,43","5,26"
0402901003,582,129,15,42,33,27,2,"22,16","2,58","7,22","5,67","4,64"
0402901004,396,99,9,42,33,21,"1, 2",25,"2,27","10,61","8,33","5,3"
0402901005,504,144,12,45,36,36,"1, 2","28,57","2,38","8,93","7,14","7,14"
0402901006,438,96,15,36,24,21,2,"21,92","3,42","8,22","5,48","4,79"
0402901007,486,63,9,30,21,15,3,"12,96","1,85","6,17","4,32","3,09"
0402902001,255,93,9,36,27,15,1,"36,47","3,53","14,12","10,59","5,88"
0402902002,714,159,15,69,51,36,4,"22,27","2,1","9,66","7,14","5,04"
0402902004,342,114,18,51,36,15,1,"33,33","5,26","14,91","10,53","4,39"
0403001001,366,162,24,63,48,24,1,"44,26","6,56","17,21","13,11","6,56"
0403001002,219,90,21,33,24,9,1,"41,1","9,59","15,07","10,96","4,11"
0403101001,540,138,15,60,51,24,2,"25,56","2,78","11,11","9,44","4,44"
0403101002,423,111,18,42,30,18,2,"26,24","4,26","9,93","7,09","4,26"
0403102001,498,168,54,39,33,33,2,"33,73","10,84","7,83","6,63","6,63"
0403201001,687,207,21,75,60,54,1,"30,13","3,06","10,92","8,73","7,86"
0403201002,822,219,18,99,75,54,1,"26,64","2,19","12,04","9,12","6,57"
